Country,Activity,Location,Sex,Fatal Y/N,Species,Type
AUSTRALIA,Swimming related,Freemantle,F,Yes,Bull shark,Unprovoked
AUSTRALIA,Fishing related,Lady Musgrave Island,M,No,A small shark,Unprovoked
NEW CALEDONIA,Swimming related,"Chateau Royal Beach, Noumea",M,No,Bull shark,Unprovoked
USA,Swimming related,"Outer Mole, Fort Zachrry Tatlor Historic Park, Key West, Monroe County",M,No,,Unprovoked
MeXICO,Surfing related,Tobari Bay,M,Yes,,Unprovoked
USA,Other,70 miles off Pensacola,M,No,Mako shark,Provoked
Maldives,Other,,F,No,Nurse shark,Provoked
South Africa,Diving related,Protea Banks,M,No,Blacktip,Provoked
USA,Swimming related,Anaeho'imalu Bay,M,No,Tiger  shark?,Unprovoked
AUSTRALIA,Swimming related,Killick Creek near Crescent Head,M,No,,Unprovoked
USA,Diving related,Pago Pago Harbor,M,No,,Unprovoked
USA,Diving related,"Keawakapu Point, Kehei, Maui",F,Yes,Tiger shark,Unprovoked
USA,Surfing related,,M,No,Blacktip,Unprovoked
USA,Swimming related,Hobe Sound,F,No,,Unprovoked
USA,Swimming related,"Del Mar Beach, San Diego County",F,No,Juvenile white shark,Unprovoked
USA,Fishing related,"Cape San Blas, Gulf County",M,No,,Provoked
USA,Surfing related,"Otter Point, Pacific Grove",M,No,,Unprovoked
USA,Fishing related,25 mikes from Empire,M,No,,Sea Disaster
BAHAMAS,Diving related,Cat Island,M,No,,Unprovoked
USA,Fishing related,Horn Island,M,No,5'shark,Provoked
USA,Diving related,Kauai,M,No,Tiger shark?,Unprovoked
AUSTRALIA,Surfing related,Seacliff,M,No,3m shark,Unprovoked
USA,Fishing related,"Key Largo, Monroe County",M,No,Juvenile nurse shark,Provoked
USA,Other,25 miles off Empire,M,No,,Unprovoked
AUSTRALIA,Fishing related,Port Hedland,M,No,Bull shark,Unprovoked
AUSTRALIA,Surfing related,"Nun's Beach, Portland",M,No,,Unprovoked
USA,Surfing related,Centerville Beach,M,No,"White shark, 13'",Unprovoked
SOUTH AFRICA,Swimming related,"Central Beach, Plettenberg Bay",F,Yes,"White shark, 13'",Unprovoked
USA,Fishing related,"Marathon, Monroe County",M,No,Bu.ll,Unprovoked
BAHAMAS,Diving related,Green Cay,F,Yes,Bull shark,Unprovoked
USA,Swimming related,"Lower Paia Beach Park, Maui",F,No,,Unprovoked
AUSTRALIA,Surfing related,Avoca,M,No,Bronze whaler,Unprovoked
AUSTRALIA,Boating related,Coffs Harbour,M,No,"White shark, 3 m",Unprovoked
USA,Swimming related,"Myrtle Beach, Horry County",F,No,,Unprovoked
USA,Swimming related,"Myrtle Beach, Horry County",F,No,Blacktip shark,Unprovoked
AUSTRALIA,Fishing related,Goode Beach,M,No,White shark,Unprovoked
USA,Diving related,"Looe Key, Monroe County",M,No,"Bull shark, 9'",Unprovoked
USA,Surfing related,"Lovers Point, Pacific Grove, Monterey County",M,No,,Unprovoked
ENGLAND,Diving related,Penzance,F,No,Blue shark,Unprovoked
USA,Other,"Florida Keys, Monroe County",M,No,Nurse shark,Unprovoked
USA,Swimming related,"Daytona Beach, Volusia County",M,No,Blacktip shark?,Unprovoked
USA,Surfing related,"Kismet Beach, Long Island",M,No,6' shark,Unprovoked
USA,unknown,"Cape Canaveral, Brevard County",Unknown,No,Shark involvement not confirmed,Questionable
USA,Surfing related,"Topsail Beach, Pender County",F,No,,Unprovoked
USA,Fishing related,"Content Keys, Monroe County",M,No,Lemon shark  6',Provoked
USA,unknown,"Daytona Beach Shores, Volusia County",F,No,"""A small shark""",Unprovoked
