Country,Activity,Location,Sex,Fatal Y/N,Species,Type
COLUMBIA,Swimming related,La Piscinita,M,Yes,Tiger shark,Unprovoked
NEW ZEALAND,Surfing related,Cobden,M,No,,Unprovoked
AUSTRALIA,Surfing related,Crowdy Baay,M,No,Bull shark,Unprovoked
AUSTRALIA,Swimming related,Crowdy Baay,M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Fishing related,"New Smyrna Beach, Volusia County",M,No,"Blacktip shark, 5' to 6'",Provoked
AUSTRALIA,Surfing related,Maroubra,M,No,,Unprovoked
USA,Surfing related,"San Miguel Islandl, Santa Barbara County",M,Yes,White shark,Unprovoked
BAHAMAS,Diving related,Tiger Beach,M,No,,?
AUSTRALIA,Other,Redcliffe,M,No,"Tiger shark, 3 m",Unprovoked
AUSTRALIA,Swimming related,"Buchan Point, Sydney",M,Yes,,Unprovoked
MEXICO,Surfing related,Yavaros,M,Yes,3m shark,Unprovoked
USA,Surfing related,"Cocoa Beach, Brevard  County",M,No,,Unprovoked
BAHAMAS,unknown,,F,No,Nurse shark,Provoked
COSTA RICA,Diving related,Playa Del Coco,F,Unknown,"Bull shark, 3m",
AUSTRALIA,Other,"Beds, Wylie Bay, Esperance",F,No,White shark,Unprovoked
AUSTRALIA,Swimming related,Warriewood,M,No,Wobbegong shark,Unprovoked
AUSTRALIA,Diving related,Whalers Beach,M,No,Wobbegong shark,Unprovoked
SOUTH AFRICA,Fishing related,"Off Beachbums, Tongaat",M,No,,Provoked
NEW ZEALAND,Swimming related,"Friendly Bay, Oamaru",F,No,Sevengill shark,Unprovoked
USA,Surfing related,"Anna Maria Island, Manatee County",F,No,Blacktip or spinner shark,Unprovoked
AUSTRALIA,unknown,"Hyams Beach, Jervis Bay",F,No,,Unprovoked
AUSTRALIA,Surfing related,North Lancelin,M,No,,Unprovoked
New Zealand,Swimming related,Pororari River,F,No,,Unprovoked
USA,Surfing related,Morro Strand San Luis Obispo,M,Yes,Great White Shark,Unprovoked
USA,Surfing related,"Anna Maria Island, Manatee County",F,No,Blacktip or spinner shark,Unprovoked
AUSTRALIA,Fishing related,Yarrabah,M,No,Bull shark,Unprovoked
MEXICO,Diving related,Mahahual,M,No,,Unprovoked
AUSTRALIA,Swimming related,Ocean Grove Beach,F,No,,Unprovoked
AUSTRALIA,Swimming related,Ocean Grove  Beach,M,No,,Unprovoked
USA,Surfing related,"Banyans, Kailua-Kona",M,No,Blacktip reef shark,Unprovoked
BRAZIL,Other,Boqueirão Beach,M,Unknown,dogfish,Unprovoked
USA,Fishing related,"Lahaina, Maui",F,No,,Unprovoked
AUSTRALIA,Swimming related,"Port Beach, North Freemantle",M,Yes,,Unprovoked
BRAZIL,Swimming related,Ubatuba Beach,M,No,,Unprovoked
NEW ZEALAND,Surfing related,Taranaki,M,No,Broadnose seven gill shark,Unprovoked
AUSTRALIA,Fishing related,Sudbury Island,M,Unknown,,
AUSTRALIA,Swimming related,"Hook Island, Whitsundays",M,No,,Unprovoked
USA,Surfing related,"Fort Pierce State Park, St. Lucie County",M,No,,Unprovoked
USA,Swimming related,"Jensen Beach, Martin County",M,No,,Unprovoked
USA,Surfing related,"Salmon Creek Beach, Sonoma County",M,No,,Unprovoked
EGYPT,Swimming related,Sidi Abdel Rahmen ,M,Unknown,No shark invovlement ,
USA,Surfing related,"Ponce Inlet, Volusia County",M,No,,Unprovoked
AUSTRALIA,Surfing related,Emerald Beach,M,Yes,White xhark,Unprovoked
British Overseas Territory,unknown,,M,No,,Unprovoked
USA,Fishing related,off Grand Isle,M,No,,Unprovoked
USA,Surfing related,"Galveston Island, Galveston County",M,No,,Unprovoked
USA,Surfing related,"Walton Beach Psrk, St. Lucie County",M,No,Bull shark,Unprovoked
CANADA,Swimming related,Cape Breton Island,F,No,,Unprovoked
AUSTRALIA,Other,North Stradbroke Island  ,M,No,,Provoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Diving related,"Key Largo, Monroe County",M,No,,Unprovoked
USA,unknown,"Hilton Head Island, Beaufort County",M,No,Blacktip shark,Unprovoked
USA,Swimming related,"Ocean City, Worcester County",F,No,Blacktip shark,Unprovoked
USA,Fishing related,"Ponce Inlet, Volusia County",M,No,,Provoked
USA,Swimming related,Wrightsville Beach,M,No,,Unprovoked
USA,Surfing related,"Tybee Island, Chatham County",M,No,small blacktip shark,Unprovoked
AUSTRALIA,Fishing related,Varanus Island,M,No,"Sickelfin lemon shark, 3m",Provoked
USA,Swimming related,"Jones Beach, Nassau County",M,No,A small shark,Unprovoked
BRAZIL,Other,Piedade,M,No,,Unprovoked
THAILAND,Other,Kung Krabaenbay Royal Département Study Center ,M,No,"Bull shark, +100kg",Provoked
USA,Surfing related,"Capitola Beach, Santa Cruz County",F,No,,Unprovoked
USA,unknown,"Near Patrick AFB, Brevard County",F,No,,
AUSTRALIA,Surfing related,Rottnest Island,M,No,"White shark, 3m",Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
SOUTH AFRICA,Surfing related,Jeffrey's Bay,M,No,,Unprovoked
BAHAMAS,Other,,M,No,,Provoked
USA,Other,"Bathtub Beach, Martin County",F,No," Spinner shark, 4'?",Unprovoked
USA,Fishing related,"46 miles off Mayport, Duval County",M,Yes,,Unprovoked
BRAZIL,Swimming related,Piedade,M,Yes,,Unprovoked
AUSTRALIA,Surfing related,Crescent Head,M,No,"White shark, 3m",Unprovoked
USA,Swimming related,"Ponce Inlet, Volusia County",M,No,2' to 3' shark,Unprovoked
USA,Fishing related,,F,No,Said to involve a bull shark,Provoked
ECUADOR,Diving related,,M,No,Galapagos shark,Unprovoked
USA,Boating related,"Catalina Island, Orange County",M,No,,Unprovoked
USA,Surfing related,"Block Houe Beach, Brevard County",F,Unknown,,Unprovoked
USA,Swimming related,"Ocean Isle, Brunswick County",F,No,,Unprovoked
USA,Swimming related,"Gray Whale Beach Cove State Beach, San Mateo County",M,No,"White shark, 6' to 8'",Unprovoked
JORDAN,Other,,M,No,,Unprovoked
AUSTRALIA,Surfing related,Gum Tree Bay,M,No,,Unprovoked
USA,Swimming related,"Bethune Beach, Volusia County",M,No,,Unprovoked
USA,Swimming related,"Grayton Beach State Park,   Walton County",M,No,7' to 8' shark ,Unprovoked
USA,Swimming related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Swimming related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
ENGLAND,Fishing related,Littlehampton,M,No,"Tope shark, 6'",Provoked
AUSTRALIA,Diving related,Five Fingers Reef,M,No,"Bronze whaler shark, 2 m",Unprovoked
NEW CALEDONIA,Fishing related,CHS Beach,M,Yes,,Provoked
USA,Swimming related,"Burkes Beach, Hilton Head, Beaufort County",M,No,5' shark,Unprovoked
AUSTRALIA,Fishing related,Quondong Beach,M,No,,Unprovoked
AUSTRALIA,Surfing related,Turncurry Beach,M,Yes,"White shark, 4.5 m",Unprovoked
USA,Other,"Kanaha Beach Park, Maui",M,No,5 to 8-ff tiger shark,Unprovoked
BELIZE,Other,,M,No,8 ft shark,Provoked
USA,Swimming related,"Daytona Beach Shores, Volusia County",F,No,,Unprovoked
USA,Surfing related,"Marine Corps Base, Oahu",M,No,5.5 ft shark,Unprovoked
JAMAICA,Fishing related,"Little Bay, Little London",M,Yes,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",F,No,,Unprovoked
USA,Surfing related,"Vero Beach, Indian River County",M,No,,Unprovoked
FRENCH POLYNESIA,Boating related,Tautira,M,No,,Unprovoked
NEW CALEDONIA,Surfing related,Nouville,M,Yes,,Unprovoked
USA,Swimming related,Kukio Bay,F,No,Tiger shark,Unprovoked
AUSTRALIA,unknown,Karratha,M,No,,Unprovoked
USA,Other,Outer Banks,Unknown,No,"Mako shark, 4 juvenile",Provoked
SOUTH AFRICA,Fishing related,Mdloti,M,No,1.3m shark,Unprovoked
SOUTH AFRICA,Surfing related,Chintsa,M,Yes,White shark,Unprovoked
USA,Swimming related,"Key Biscayne, Miami-Dade County",M,No,,Unprovoked
USA,unknown,"Vero Beach, Indian River County",M,No,,Unprovoked
AUSTRALIA,Fishing related,Near Coral Bay,M,No,"Whaler or bull shark, 2m",Unprovoked
FRENCH POLYNESIA,Swimming related,Ua Pou,M,No,,Unprovoked
USA,unknown,Indian River County,F,No,3' to 5' shark,Unprovoked
USA,Swimming related,"Fort Lauderdale, Broward County",M,No,  ,Unprovoked
USA,Surfing related,"Miami Beach, Miami-Dade County",M,No,,Unprovoked
AUSTRALIA,Surfing related,Yallingup,M,No,"Blacktip whaler,      Carcharhinus tilstoni, 2m",Unprovoked
USA,Swimming related,"Juno Beach, Palm Beach County",M,No,"Blacktip shark, 6'",Unprovoked
NEW CALEDONIA,Fishing related,Ouvéa,M,No,Tiger shark,Unprovoked
NEW CALEDONIA,Swimming related,I'îot Maître,M,Yes,"Tiger shark, 4 m",Unprovoked
AUSTRALIA,Fishing related,Waterford West,M,No,"Bull shark, 80cm",Provoked
USA,Surfing related,"Waiokapua Bay, Kaui",M,No,,Unprovoked
AUSTRALIA,Surfing related,Gleneg,M,No,Bronze whaler shark,Watercraft
USA,Boating related,Ukumehama ,M,No,White shark,Watercraft
AUSTRALIA,Swimming related,"Melaleuca Beach, Cowaramup Bay, Gracetown, ",F,No,,Unprovoked
NEW ZEALAND,Swimming related,"Papamoa Beach, Bay of Plenty",M,No,Juvenile shark,Unprovoked
AUSTRALIA,Swimming related,Lake Macquarie,M,No, ,Unprovoked
USA,Fishing related,Off Tampa Bay,Unknown,No,White shark,Watercraft
USA,Diving related,Maui,M,No,"8"" shark",Unprovoked
AUSTRALIA,Diving related,Port MacDonnell,M,Yes,White shark,Unprovoked
Australia,Swimming related,Swan River Bicton,M,No,3m Bull shark,Unprovoked
BRAZIL,Surfing related,Cacimba do Padre Beach,M,No,,Unprovoked
AUSTRALIA,Swimming related,Blackwall Reach,M,No,"Bull shark, 6.5 to 10 '",Unprovoked
AUSTRALIA,Swimming related,13th Beach,M,No,,Unprovoked
ST KITTS / NEVIS,Swimming related,Booby Island,F,No,,Unprovoked
NEW ZEALAND,Swimming related,"Waihī  Beach, Bay of Plenty",F,Yes,,Unprovoked
USA,Surfing related,"Cocoa Beach, Brevard  County",M,No,,Unprovoked
USA,Surfing related,"Cocoa Beach, Brevard  County",M,No,,Unprovoked
USA,Swimming related,"Anaehoomalu Bay
Waikoloa, Hawaii County",F,No,,Unprovoked
USA,Swimming related,"Coronado, San Diego County",M,No,White shark,Unprovoked
MALDIVES,Fishing related,Faadoo Island,M,No,,Unprovoked
ST MARTIN,Swimming related,Orient Beach,F,Yes,Tiger shark,Unprovoked
AUSTRALIA,Surfing related,Cable Beach,M,No,,Unprovoked
USA,Surfing related,Honolua Bay,M,Yes,"Tiger shark. 14'3""",Unprovoked
USA,Surfing related,"Seaside Cove, Clatsop County",M,No,,Unprovoked
AUSTRALIA,Surfing related,D’Estrees Bay near Kangaroo Island,M,No,White shark,Unprovoked
EGYPT,Diving related,Marsa Alam,F,No,Oceanic whitetip shark,Unprovoked
USA,Diving related,Maui,F,No,,Unprovoked
NEW CALEDONIA,Diving related,St. Vincent Bay,F,No,"Tiger shark, 4m ",Unprovoked
AUSTRALIA,Surfing related,Cable Beach,M,Yes,Bull shark,Unprovoked
AUSTRALIA,Surfing related,"Town Beach, Port Macquarie",M,No,,Unprovoked
USA,Swimming related,Ormond Beach,M,No,"Blacktip shark, 6' to 7'",Unprovoked
BAHAMAS,Fishing related,East End Point,M,No,"""Reef shark""",Unprovoked
USA,Surfing related,St George Island,M,No,,Unprovoked
EGYPT,Diving related,"Shark Reef, Ras Muhammed",Unknown,No,,Unprovoked
AUSTRALIA,Fishing related,Britomart Reef,M,No,,Unprovoked
USA,Surfing related,"Emerald Isle, Carteret County",M,No,Shark involvement not confirmed,
AUSTRALIA,Surfing related,Kelp Beds Beach (Kelpies),M,Yes,4m shark,Unprovoked
USA,Surfing related,"Miami Beach, Miami-Dade County",M,No,Blacktip shark,Unprovoked
AUSTRALIA,Surfing related,"Toms Surf break, Hamersley Pool, North Beach, Perth",M,No,Bronze whaler 1.5m,Unprovoked
USA,unknown,Near Key Largo,M,No,Small nurse shark,Provoked
USA,Swimming related,"Charley Young Beach, Maui",F,No,Injuries not caused by a shark,
USA,Diving related,"Sombero Key Light, Monroe County",M,No,Bull shark,Unprovoked
AUSTRALIA,Fishing related,Fraser Island,M,No,"""whitetip shark""",Provoked
AUSTRALIA,Surfing related,Cabarita Beach,M,No,White shark,Unprovoked
USA,Swimming related,"Daytona Beach Shores, Volusia County",M,No,Shark involvement not confirmed,
USA,Surfing related,"Ponce Inlet, Volusia County",M,No,,Unprovoked
USA,Surfing related,"Melbourne Beach, Brevard County",M,No,,Unprovoked
USA,Surfing related,Canaveral National Seashore,M,No,4' to 5' shark,
AUSTRALIA,Surfing related,"Greenmount Beach, Coolangatta",M,Yes,"White shark, 3m",Unprovoked
USA,Diving related,Puako,F,No,8' shark,Unprovoked
USA,unknown,"Jensen Beach, Martin County",M,No,"Nurse shark, juvenile",Unprovoked
AUSTRALIA,Fishing related,Forster,Unknown,No,White shark,Watercraft
USA,Surfing related,"Folly Beach, Charleston County",M,No,,Unprovoked
USA,Fishing related,"Shelter Cove, Humboldt County",M,No,White shark,Unprovoked
USA,Swimming related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,"St. Augustine Beach, Anastasia Island, St. Johns County",M,No,4' to 5' shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",F,No,,Unprovoked
USA,Swimming related,"Myrtle Beach, Horry County",F,No,,
AUSTRALIA,Surfing related,"Shelly Beach, Port Macquarie",F,No,"White shark, 2-to 3m",Unprovoked
USA,Fishing related,"Off Gasparilla Island, Charlotte County",M,No,"Blacktip shark, 6'",Provoked
USA,Diving related,"Candle Reef, St. Croix",F,No,"Nurse shark, 5'",Unprovoked
USA,Surfing related,"Surf City, Pender County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",F,No,,Unprovoked
USA,Swimming related,"Orange Beach, Baldwin County",M,No,Blacktip or Spinner shark,Unprovoked
AUSTRALIA,Surfing related,Bunker Bay Beach,M,No,"White shark, 4m",Unprovoked
USA,Diving related,Florida Keys,M,No,"Lemon shark, 8'",Unprovoked
AUSTRALIA,Other,Tenth Island,Unknown,Unknown,"White shark, 4m",Watercraft
FRENCH POLYNESIA,Swimming related,Tikehau,M,No,"Blacktip reef shark, juvenile",Unprovoked
USA,Swimming related,"Bailey Island, Cumberland County",F,Yes,"White shark, 11'?",Unprovoked
USA,Fishing related,Spanish Cay,M,No,"Reef shark, 5' to 6 '",Unprovoked
USA,Swimming related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Swimming related,"Neuse River, Craven County",M,No,Bull shark. 6.5',Unprovoked
USA,Swimming related,"Cocoa Beach, Brevard  County",F,No,,Unprovoked
AUSTRALIA,Fishing related,Off Stanley,M,No,White shark,Unprovoked
USA,Swimming related,"Melbourne Beach, Brevard County",F,No,"Bull shark, 4' to 6'",Unprovoked
AUSTRALIA,Diving related,Fitzroy Island,F,No,2 m shark,Unprovoked
AUSTRALIA,Surfing related,Wilsons Headland,M,Yes,"White shark, 2.5 m",Unprovoked
USA,Surfing related,"Cocoa Beach, Brevard  County",F,No,,Unprovoked
AUSTRALIA,Fishing related,Fraser Island,M,Yes,,Unprovoked
USA,Other,"Homestead, Miami-Dade County",M,No,Juvenile bull shark?,Unprovoked
USA,Surfing related,"Salvo, Dare County",M,No,,Unprovoked
BAHAMAS,unknown,"Pig Beach, Pig Island",Unknown,No,,Unprovoked
SOUTH AFRICA,Surfing related,Umhlanga Rocks,F,No,,Unprovoked
NEW CALEDONIA,Surfing related,"Plateau de Ricaudy, Nouméa",M,Yes,Tiger shark,Unprovoked
AUSTRALIA,Surfing related,Salt Beach near Kingscliff,M,Yes,"White shark, 3.5 m",Unprovoked
AUSTRALIA,unknown,"Tantabitti Beach, Nigaloo",F,Unknown,,Unprovoked
USA,Surfing related,"Herring Point, Sussex County",M,No,Shark involvement unconfirmed but considered probable,
USA,Surfing related,"Davidsons Beach, Kauai",M,No,Tiger shark?,Unprovoked
BAHAMAS,Fishing related,NoName Cay,M,No,"Bull shark, 8'",Unprovoked
AUSTRALIA,Fishing related,Lucinda,M,No,Bull shark,Unprovoked
THAILAND,Other,Chebilang pier ,M,No,Bull shark,Unprovoked
SPAIN,Other,"Famara Beach, Lanzarote",M,No,Angel shark,Unprovoked
FRENCH POLYNESIA,Diving related,Vallée Blanche,Unknown,No,Blacktip shark,Unprovoked
USA,Surfing related,"Sand Dollar Beach, Santa Cruz County",M,Yes,White shark,Unprovoked
AUSTRALIA,Surfing related,"Southside Beach, near Geelong",M,No,,Unprovoked
USA,Swimming related,"Summerland, Santa Barbara County",F,No,5' to 6' shark,Unprovoked
USA,Surfing related,"Moonlight Beach, San Diego County",M,No,,
AUSTRALIA,Swimming related,Killick Creek near Crescent Head,F,No,,Unprovoked
USA,Surfing related,"Cocoa Beach, Brevard  County",F,No,"Bull shark, 6'",Unprovoked
AUSTRALIA,Swimming related,North West Island,M,Yes,,Unprovoked
AUSTRALIA,Surfing related,Wamberal Beach,M,No,6' shark,Unprovoked
USA,Surfing related,"Pleasure Point, Santa Cruz County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,,Unprovoked
AUSTRALIA,unknown,Cairns,F,No,,Unprovoked
NEW ZEALAND,Fishing related,"Stanmore Bay, Auckland",M,No,"White shark, 2.5 to 3 m",Provoked
FIJI,Fishing related,"Tawake, Cakaudrove",M,No,,Unprovoked
NEW ZEALAND,Surfing related,Pauanui Beach,M,No,White shark,Unprovoked
USA,Surfing related,Wailea,M,No,Tiger shark,Unprovoked
FRENCH POLYNESIA,Boating related,Ua Huka,M,No,,Unprovoked
BAHAMAS,Swimming related,,F,No,,Provoked
AUSTRALIA,Surfing related,Windang Beach,M,No,"""A small shark""",Unprovoked
NEW ZEALAND,Surfing related,Oreti Beach,F,No,Broadnose seven gill shark?,Unprovoked
USA,Surfing related,"Rodanthe, Dare County",M,No,,Unprovoked
THAILAND,Swimming related,Nang Thong Beach,M,No,,Unprovoked
AUSTRALIA,Swimming related,North West Island,F,No,Lemon shark,Unprovoked
AUSTRALIA,Diving related,Cull Island / Esperance,M,Yes,White shark,Unprovoked
NEW CALEDONIA,unknown,Calana,M,No,,Unprovoked
AUSTRALIA,Swimming related,Esperance,M,Yes,,Questionable
AUSTRALIA,Swimming related,North West Island,M,No,"Shovelnose ""shark"" which is a ray, not a shark)",Unprovoked
SEYCHELLES,Swimming related,Amitié Beach,F,No,,Unprovoked
PAPUA NEW GUINEA,Fishing related,Ragelapara reef ,M,Yes,,Unprovoked
SOUTH AFRICA,Surfing related,"Nahoon Beach, East London",M,No,,Unprovoked
NEW ZEALAND,Surfing related,Oreti Beach,F,No,,Unprovoked
USA,Surfing related,"Santa Rosa Island, Ventura County",M,No,,Unprovoked
AUSTRALIA,Fishing related,Shellharbour,Unknown,Unknown,White shark,Provoked
REUNION ISLAND,Boating related,,M,Unknown,3.4 m tiger shark,Questionable
AUSTRALIA,Diving related,Exmouth,M,No,,Unprovoked
CUBA,Swimming related,Guardalavaca Beach ,M,Yes,,Unprovoked
USA,Surfing related,"Cove Park, Kihei, Maui",M,No,10'-12' tiger shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,Juvenile blacktip shark,Unprovoked
AUSTRALIA,Diving related,Bargara,M,No,,Unprovoked
AUSTRALIA,Fishing related,"Elliot Head, near Bundaberg.",M,Unknown,,Questionable
MEXICO,Fishing related,Off Barra Vieja,M,No,,Provoked
ISRAEL,Diving related,Haifa,M,No,,Unprovoked
FRENCH POLYNESIA,Other,Afareitu Lagoonarium.,M,No,5' blacktip shark,Provoked
USA,Surfing related,"Cocoa Beach, Brevard  County",M,No,4' to 5' blacktip shark,Unprovoked
MEXICO,Diving related,Magdalena Bay,M,No,,Unprovoked
SOUTH AFRICA,Fishing related,East London,M,No,"White shark, 4 m",Watercraft
USA,Surfing related,"San Onofre, San Diego County ",F,No,Juvenile white shark?,Unprovoked
REUNION ISLAND,Diving related,L’Hermitage Lagoon,M,Yes,10' tiger shark,Questionable
AUSTRALIA,Diving related,"Off Airlie Beach, Whitsundays",M,No,Tiger shark,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,4' to 5' shark,Provoked
USA,Fishing related,"Cambria, San Luis Obispo County",M,No,White shark,Unprovoked
FRENCH POLYNESIA,Diving related,Opunohu Bay,F,Unknown,Oceanic whitetip shark,Unprovoked
AUSTRALIA,Surfing related,"Woorim Beach, Bribie Island,",M,No,7' shark,Unprovoked
USA,Surfing related,"Fort Pierce, St. Lucie County",M,No,,Unprovoked
AUSTRALIA,Surfing related,Lighthouse Beach,M,No,"White shark, 3.5 m",Unprovoked
USA,Boating related,"Ship Rock near Catalina, Los Angeles County",M,No,White shark,Watercraft
USA,Surfing related,Talofofo Bay ,M,No,Juvenile shark,Unprovoked
AUSTRALIA,Fishing related,"Nightcliff Jetty, Darwin",M,No,1+ m shark,Provoked
USA,Surfing related,"Kihei, South Maui",F,No,6' to 7' shark,Unprovoked
USA,Swimming related,"Huguenot Park, Jacksonville, Duval County",M,No,,Unprovoked
USA,Surfing related,"Satellite Beach, Brevard County",M,No,2' shark,Unprovoked
USA,Diving related,"Haleiwa, Oahu",Unknown,No,"Galapagos shark, 5'-9'",Unprovoked
USA,unknown,"Isle of Palms,  Charleston County",F,No,,Unprovoked
AUSTRALIA,Fishing related,"Burns Beach, Perth",M,No,14' white shark,Unprovoked
USA,Fishing related,Grand Cayman,M,No,Nurse shark,Unprovoked
USA,unknown,"Jacksonville Beach, Duval County",M,No,,Unprovoked
USA,Surfing related,"New Smyrna Beach, Volusia County",M,No,6.5' shark,Provoked
USA,Swimming related,"Fort Lauderdale, Broward County",M,No,,Unprovoked
USA,Swimming related,"Napoopoo Park in Kealakekua Bay, The Big Island",F,No,,Unprovoked
